categ_code;Libellé catégorie;Libéllé catégorie n2;Domaine;Autorité compétente 1;Autorité compétente 2;Commentaire;Commentaire OCTO
267;Dispensaire Antihansénien;Autres Etablissements de Soins et Prévention;Sanitaire;ENSEIGNEMENT;;;que signifie ENSEIGNEMENT ? Hors périmètre de l'affectation ?
268;Centre Médico-Scolaire;Autres Etablissements de Soins et Prévention;Sanitaire;ENSEIGNEMENT;;;que signifie ENSEIGNEMENT ? Hors périmètre de l'affectation ?
269;Centre de Médecine Universitaire;Autres Etablissements de Soins et Prévention;Sanitaire;ENSEIGNEMENT;;;que signifie ENSEIGNEMENT ? Hors périmètre de l'affectation ?
270;Centre de Médecine Sportive;Autres Etablissements de Soins et Prévention;Sanitaire;ARS;;;
271;Maison d’accueil hospitalière (M.A.H.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;ARS;;;
272;Ecole d'ambulanciers;Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
273;Institut de formation en soins infirmiers (I.F.S.I.);Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
275;Ecole de masseurs-kinésithérapeutes;Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
277;Ecole de péricultrices;Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
278;Etablissement de formation polyvalent;Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
279;Ecole de service social;Etablissements de Formation des Personnels Sociaux;Formation ;A voir en atelier ;;;Reste à renseigner
280;Ecole d'éducateurs spécialisés;Etablissements de Formation des Personnels Sociaux;Formation ;A voir en atelier ;;;Reste à renseigner
281;Centre de formation d'aides soignants;Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
282;Ecole de pédicures-podologues;Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
283;Ecole de manipulateurs d'électro-radiologie;Etablissements de Formation des Personnels Sanitaires;Formation ;A voir en atelier ;;;Reste à renseigner
